时间（s）,距中心 0.0000 cm,距中心 0.1000 cm,距中心 0.2000 cm,距中心 0.3000 cm,距中心 0.4000 cm,距中心 0.5000 cm,距中心 0.6000 cm,距中心 0.7000 cm,距中心 0.8000 cm,距中心 0.9000 cm,距中心 1.0000 cm,距中心 1.1000 cm,距中心 1.2000 cm,距中心 1.3000 cm,距中心 1.4000 cm,距中心 1.5000 cm,距中心 1.6000 cm,距中心 1.7000 cm,距中心 1.8000 cm,距中心 1.9000 cm,距中心 2.0000 cm
0.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
1.0,28.000000412748292,28.000000412748292,28.000000412748292,28.000000412748292,28.000000412748292,28.000000412748292,28.000000412748292,28.000000412748292,28.000000412748292,28.000000412748292,28.000000412748292,28.000000412748292,28.000000412748292,28.000000412748292,28.000000412748292,28.000000412748292,28.000000412748292,28.000000412748292,28.00000051095909,28.00000454659493,28.000096178094008
2.0,28.000001650935094,28.000001650935094,28.000001650935094,28.000001650935094,28.000001650935094,28.000001650935094,28.000001650935094,28.000001650935094,28.000001650935094,28.000001650935094,28.000001650935094,28.000001650935094,28.000001650935094,28.000001650935094,28.00000165093651,28.00000165104818,28.000001655699972,28.00000178017625,28.000004123689614,28.00003578729174,28.00034377676307
3.0,28.00000371448298,28.00000371448298,28.00000371448298,28.00000371448298,28.00000371448298,28.00000371448298,28.00000371448298,28.00000371448298,28.00000371448298,28.00000371448298,28.00000371448298,28.00000371448298,28.00000371448313,28.000003714489022,28.00000371466122,28.000003718518496,28.000003786388323,28.000004733205788,28.000015199646057,28.000105839783917,28.00070720573864
4.0,28.00000660331452,28.00000660331452,28.00000660331452,28.00000660331452,28.00000660331452,28.00000660331452,28.00000660331452,28.00000660331452,28.00000660331452,28.00000660331452,28.00000660331453,28.000006603314777,28.00000660332083,28.000006603443776,28.00000660552328,28.000006634939833,28.00000698281901,28.00001040464003,28.00003811769088,28.000219942100713,28.00116366557483
5.0,28.00001031735231,28.00001031735231,28.00001031735231,28.00001031735231,28.00001031735231,28.00001031735231,28.00001031735231,28.00001031735231,28.00001031735231,28.00001031735232,28.000010317352533,28.00001031735656,28.000010317422745,28.00001031836428,28.00001032995047,28.000010452923537,28.000011572447193,28.00002024011545,28.000076623970696,28.000379755666835,28.00169799207821
6.0,28.00001485651893,28.00001485651893,28.00001485651893,28.00001485651893,28.00001485651893,28.00001485651893,28.00001485651893,28.000014856518934,28.00001485651894,28.000014856519076,28.000014856521254,28.000014856552202,28.000014856942286,28.0000148612904,28.000014903996313,28.000015271652714,28.000018026213553,28.000035817691362,28.00013368129631,28.000585127942227,28.002299689708863
7.0,28.00002022073699,28.00002022073699,28.00002022073699,28.00002022073699,28.00002022073699,28.00002022073699,28.00002022073699,28.000020220736996,28.00002022073707,28.000020220738115,28.000020220751473,28.000020220905128,28.000020222494,28.000020237202918,28.000020358523525,28.000021244658868,28.000026932609806,28.000058714707816,28.000211521381917,28.00083502897621,28.002961196790174
8.0,28.000026409929088,28.000026409929088,28.000026409929088,28.000026409929088,28.000026409929088,28.000026409929088,28.00002640992909,28.00002640992913,28.0000264099296,28.000026409935085,28.000026409993808,28.00002641056572,28.00002641561551,28.000026455858805,28.000026743784648,28.00002858142939,28.00003896413505,28.00009042320157,28.000311763615844,28.001128044828473,28.00367685186197
9.0,28.000033424017843,28.000033424017843,28.000033424017843,28.000033424017843,28.000033424017843,28.000033424017843,28.00003342401786,28.000033424018067,28.000033424020252,28.00003342404229,28.00003342424649,28.000033425979865,28.000033439402525,28.000033533768008,28.00003413277382,28.000037544059314,28.000054843983897,28.000132303584348,28.00043554157683,28.001462633483733,28.004442264469663
10.0,28.000041262925876,28.000041262925876,28.000041262925876,28.000041262925876,28.000041262925876,28.000041262925883,28.00004126292597,28.00004126292683,28.000041262935014,28.000041263007674,28.00004126360386,28.000041268106898,28.000041299278983,28.000041496083874,28.000042623098814,28.000048440589378,28.000075317022894,28.000185564890863,28.000583614943324,28.0018372538154,28.005253922856646
11.0,28.000049926575812,28.000049926575812,28.000049926575812,28.000049926575812,28.00004992657582,28.00004992657585,28.000049926576185,28.000049926579216,28.00004992660508,28.000049926810906,28.00004992833108,28.000049938706137,28.000050003844578,28.000050378225218,28.000052337407148,28.000061616564466,28.000101126580198,28.00025126190666,28.000756460781936,28.002250427084153,28.00610894288418
12.0,28.00005941489029,28.00005941489029,28.00005941489029,28.000059414890295,28.00005941489031,28.000059414890437,28.00005941489156,28.0000594149008,28.000059414972256,28.000059415489023,28.00005941896835,28.000059440682694,28.00005956573586,28.000060227112403,28.000063422572726,28.00007744601771,28.000132997110935,28.000330302129107,28.000954344941505,28.002700762974303,28.0070049028216
13.0,28.000069727791953,28.000069727791953,28.000069727791953,28.000069727791963,28.000069727792013,28.000069727792432,28.000069727795758,28.000069727820755,28.000069727997822,28.000069729173916,28.000069736465317,28.000069778476767,28.00007000244114,28.00007110196323,28.00007604792785,28.00009632271685,28.0001716220788,28.00042345782338,28.00117737659529,28.00318696735709,28.00793973149796
14.0,28.00008086520345,28.00008086520345,28.000080865203454,28.000080865203476,28.000080865203635,28.000080865204847,28.000080865213683,28.000080865274928,28.00008086567595,28.00008086814324,28.000080882343923,28.000080958477003,28.000081337020454,28.00008307464666,28.000090402837056,28.00011865218619,28.00021765612585,28.000531380173953,28.001425549368903,28.00370784097625,28.0089116304017
15.0,28.00009282704744,28.00009282704744,28.00009282704745,28.000092827047514,28.000092827047965,28.00009282705113,28.000092827072564,28.000092827210686,28.00009282805272,28.00009283288557,28.000092858885235,28.000092989437327,28.000093598695972,28.000096229629627,28.000106693882028,28.000144844768254,28.000271710582847,28.000654613741165,28.001698772142554,28.00426227393536,28.009919017917966
16.0,28.000105613246586,28.00010561324659,28.000105613246614,28.000105613246788,28.00010561324795,28.000105613255563,28.000105613303717,28.00010561359394,28.00010561525153,28.000105624179753,28.000105669334385,28.000105882877932,28.000106823292736,28.00011066357473,28.000125141880126,28.000175309814523,28.000334351472443,28.000793610228662,28.00199689205274,28.004849238538696,28.01096048837206
17.0,28.000119223723562,28.000119223723573,28.00011922372364,28.00011922372408,28.000119223726845,28.000119223743894,28.000119223845136,28.000119224418953,28.000119227505575,28.000119243187406,28.000119318116475,28.000119653453726,28.000121053522474,28.000126484657418,28.00014597890782,28.000210450981918,28.000406099301063,28.000948741069635,28.002319711660395,28.00546778178493,28.01203478122837
