时间（s）,距中心 0.0000 cm,距中心 0.1000 cm,距中心 0.2000 cm,距中心 0.3000 cm,距中心 0.4000 cm,距中心 0.5000 cm,距中心 0.6000 cm,距中心 0.7000 cm,距中心 0.8000 cm,距中心 0.9000 cm,距中心 1.0000 cm,距中心 1.1000 cm,距中心 1.2000 cm,距中心 1.3000 cm,距中心 1.4000 cm,距中心 1.5000 cm,距中心 1.6000 cm,距中心 1.7000 cm,距中心 1.8000 cm,距中心 1.9000 cm,距中心 2.0000 cm
0.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55
1.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999875103,2.5499999828714284,2.549988203065702,2.545926205223526
2.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999999,2.5499999999992817,2.549999999581152,2.5499998305289875,2.5499532384572072,2.5419038026585583
3.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999825,2.549999999992759,2.5499999976233516,2.549999412528816,2.5498956643608732,2.5379318755764735
4.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999885,2.549999999966572,2.549999992229689,2.54999860306469,2.5498160264296,2.5340095256461526
5.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999985,2.549999999999525,2.5499999998940805,2.549999980823406,2.549997280840668,2.5497148580811384,2.5301358725098844
6.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999936,2.549999999998526,2.5499999997321,2.5499999601687713,2.549995328946959,2.549592680784766,2.5263100533780474
7.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.54999999999998,2.549999999996207,2.5499999994173654,2.549999926403348,2.54999263473896,2.5494500043380883,2.522531222639216
8.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999465,2.549999999991463,2.549999998863224,2.5499998750691817,2.54998908971939,2.549287327135181,2.51879855148342
9.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999994,2.5499999999998755,2.5499999999826253,2.549999997956533,2.5499998011429508,2.5499845894234467,2.5491051364269244,2.51511122753699
10.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999985,2.5499999999997365,2.549999999967303,2.549999996554773,2.5499996990651015,2.5499790333069092,2.548903908574173,2.5114684545078396
11.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999963,2.5499999999994842,2.5499999999422145,2.5499999944833482,2.549999562768002,2.549972324637106,2.5486841092942307,2.507869451840364
12.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999923,2.5499999999990517,2.549999999903005,2.5499999915330847,2.5499993857031424,2.549964370386679,2.5484461939010177,2.5043134543792958
13.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999985,2.549999999998343,2.5499999998440495,2.549999987457903,2.549999160867408,2.5499550811300633,2.5481906075392304,2.5007997120420127
14.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999727,2.549999999997227,2.549999999758246,2.5499999819726726,2.549998880828453,2.5499443709426197,2.5479177854127593,2.4973274894988853
15.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999523,2.5499999999955283,2.549999999636802,2.549999974751225,2.549998537749201,2.549932157302345,2.547628153007579,2.4938960658613003
16.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999203,2.549999999993016,2.549999999469007,2.549999965424534,2.5499981234115014,2.5499183609940963,2.547322126309318,2.4905047343770694
17.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999999,2.549999999999871,2.5499999999893945,2.5499999992420026,2.5499999535790456,2.549997629238958,2.549902906016266,2.5470001120156724,2.487152802132947
18.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999998,2.549999999999797,2.5499999999842893,2.5499999989405433,2.5499999387551555,2.549997046318968,2.549885719489843,2.5466625077438314,2.4838395897640217
19.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999967,2.5499999999996885,2.549999999977234,2.54999999854675,2.5499999204458295,2.549996365423977,2.549866731569803,2.546309702233063,2.4805644311697637
20.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999945,2.5499999999995335,2.5499999999676555,2.5499999980398607,2.549999898095356,2.5499955770319893,2.5498458753587663,2.5459420755425968,2.4773266732365236
21.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999914,2.5499999999993155,2.5499999999548573,2.5499999973959793,2.5499998710982283,2.549994671346347,2.549823086822864,2.545559999244929,2.474125675566299
22.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999865,2.549999999999014,2.5499999999380023,2.5499999965878155,2.5499998387981506,2.5499936383147994,2.5497983047097637,2.545163836614687,2.470960810211593
23.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.54999999999998,2.5499999999986036,2.5499999999160936,2.5499999955844257,2.549999800487161,2.549992467647891,2.549771470468797,2.544753942813153,2.467831461416199
24.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999705,2.5499999999980534,2.549999999887954,2.5499999943509515,2.549999755404869,2.5499911488366775,2.549742528173134,2.5443306650685718,2.4647370253617513
25.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999957,2.5499999999973237,2.5499999998522056,2.5499999928483565,2.5499997027377983,2.5499896711698002,2.549711424443957,2.5438943428523446,2.461676909919899
26.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999394,2.549999999996368,2.549999999807245,2.5499999910331628,2.5499996416188324,2.5499880237499304,2.5496781083765865,2.5434453080512136,2.4586505344099527
