时间（s）,归一化半径 ξ=0.0000,归一化半径 ξ=0.0500,归一化半径 ξ=0.1000,归一化半径 ξ=0.1500,归一化半径 ξ=0.2000,归一化半径 ξ=0.2500,归一化半径 ξ=0.3000,归一化半径 ξ=0.3500,归一化半径 ξ=0.4000,归一化半径 ξ=0.4500,归一化半径 ξ=0.5000,归一化半径 ξ=0.5500,归一化半径 ξ=0.6000,归一化半径 ξ=0.6500,归一化半径 ξ=0.7000,归一化半径 ξ=0.7500,归一化半径 ξ=0.8000,归一化半径 ξ=0.8500,归一化半径 ξ=0.9000,归一化半径 ξ=0.9500,归一化半径 ξ=1.0000
0.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
60.0,28.000000000085592,28.000000000154095,28.000000000492545,28.000000001830518,28.000000007008566,28.000000026649538,28.00000009904647,28.00000035662619,28.00000123671858,28.00000411281104,28.000013071394577,28.00003958803452,28.000113966995894,28.000311189113706,28.000804445103377,28.001965829638248,28.004536337979097,28.009879306562592,28.020305862686314,28.039422282775785,28.072611403194205
120.0,28.00000078105892,28.000001009514214,28.00000184846559,28.000003922791777,28.000008725906156,28.000019567545838,28.0000435104224,28.000095142248412,28.00020361066994,28.00042518311447,28.00086468159841,28.0017103968024,28.00328828525914,28.006142006148593,28.01114506170083,28.01964912209011,28.033667458840668,28.056083273718798,28.09086050910749,28.143252405456362,28.2207783965195
180.0,28.000044734218985,28.000051667507893,28.0000748226498,28.000122942982998,28.00021354323389,28.00037818298444,28.000671201787863,28.001183436097985,28.002062871031793,28.003544550832,28.005992174678557,28.009953356814865,28.016229152374844,28.02595575076213,28.040692054751066,28.062501708639285,28.094013713474137,28.13844518083175,28.199580410347433,28.281803573826263,28.391662220994775
240.0,28.000473296678663,28.00051971152172,28.000668506766498,28.000953798339783,28.00143863632489,28.002225568631157,28.003472220502037,28.00541285032354,28.008386599067155,28.012872737809733,28.01953241842305,28.029255161257485,28.043206533487663,28.062871247537736,28.090083528023005,28.127034774449513,28.176248653474172,28.240518228307796,28.322820730747686,28.426397343159433,28.55697549201236
300.0,28.002284044934243,28.002439587895733,28.002927304390646,28.00382096023261,28.005250780103133,28.007415996426825,28.010601843457074,28.015201063628762,28.021739360087338,28.030903818794403,28.0435730374476,28.060847884830782,28.08408304614919,28.114922446202044,28.155346548243646,28.207745332487093,28.27503406363093,28.360825465176102,28.4696781516613,28.607674008352202,28.786121101755313
360.0,28.00706832042347,28.007421802833793,28.00851552742663,28.01046456110228,28.013466896998263,28.017815197912565,28.023912225026272,28.03229039591988,28.043635563177574,28.05881530774597,28.07891225857112,28.105262870949147,28.139501179323887,28.18360457975912,28.239934221058938,28.31125669111249,28.40072924187668,28.51183608854928,28.648320059788183,28.81453943162215,29.019654029734816
420.0,28.01657886142936,28.017217038521785,28.01917629272303,28.022610545297642,28.027781893626383,28.035072311128395,28.044998778400817,28.058232309743456,28.075620426380862,28.09821217638324,28.127284208993245,28.16436571940278,28.21125948585176,28.270056060728756,28.343138829087884,28.433179322107108,28.543125056810226,28.676191429243058,28.835936234786832,29.026943057324097,29.25994420602602
480.0,28.032524994303145,28.033531683588205,28.03660734598074,28.04194264407902,28.049859574349732,28.060821763547736,28.075446918629464,28.094521672391704,28.11901798919215,28.15010994895898,28.189189345185223,28.237877989408464,28.298033739513148,28.371745866321902,28.46131343681873,28.569198607077976,28.697947775953608,28.850089754331332,29.028120457931283,29.235202434100678,29.480576843355475
540.0,28.056545715459894,28.057995813798705,28.062410445894407,28.070009533843844,28.081161656862506,28.096391598599148,28.11638844619736,28.14201434204477,28.174312713819713,28.21451446305082,28.26404045856773,28.324498984632783,28.39767794632614,28.48553410354632,28.590185566316617,28.71391860071178,28.859224691044144,29.02889842942283,29.226328386500366,29.456660895309962,29.73320035354848
600.0,28.090012801197993,28.09196128561926,28.097876490108902,28.10799616417698,28.122716142407462,28.14259470849005,28.168356368388327,28.20089569511393,28.241280960358885,28.290757450027236,28.350750709763048,28.422870299446675,28.50891466968026,28.610877130886983,28.730951295161802,28.87153226954663,29.035210902614093,29.2247828897782,29.44343743857474,29.69591250874009,29.99525315379291
660.0,28.13385988151426,28.136337865193564,28.14384423201613,28.15662552019142,28.175091112960153,28.199816396269004,28.231545211438064,28.271192624726527,28.319847946430748,28.378777876941236,28.449429713314156,28.53343478102124,28.632612856692738,28.74897956158746,28.884760648794582,29.042419753359763,29.224711873443,29.434804847312645,29.676667239032803,29.95657495548128,30.290730301123677
720.0,28.18864868219785,28.191674294941812,28.20082527533473,28.216353958224815,28.23867906003871,28.268388574348958,28.306242021300733,28.353173333972073,28.41029464783797,28.47890127261282,28.560478073447996,28.656707099304743,28.769475212569006,28.90087832220169,29.05321560431671,29.2289643597426,29.43073151212431,29.66122341108854,29.923472659075408,30.2222563430574,30.571761523461724
780.0,28.254795925271342,28.258384043052057,28.269224225677323,28.287574572564875,28.313863445220683,28.348692494233557,28.392838874438414,28.447257619909845,28.513083799207333,28.591633695549543,28.68440390512906,28.793067027198813,28.919462804421254,29.065584523390047,29.233562566580144,29.425651059242497,29.644235427863556,29.891929365509096,30.17202606954044,30.490246925229375,30.8629302356083
840.0,28.332702795453773,28.336868115758083,28.349441201978124,28.370684379133813,28.401032262730812,28.441093574877698,28.49165142679817,28.553662981906086,28.628258207198826,28.71673731628823,28.820566436575174,28.941370830663118,29.08092445764219,29.2411335611214,29.42401048261341,29.631634086324997,29.8661052300663,30.129568107730922,30.424586478991664,30.75584550432804,31.13824985336485
900.0,28.42270557324444,28.427455369004015,28.441781779375237,28.46594655040452,28.5003824305458,28.545693611686772,28.602654037254563,28.672204379744116,28.755447161214427,28.853639214984337,28.96818047276004,29.100597941436185,29.25252384670017,29.425667485606535,29.6217818031472,29.842630084920845,30.08997540082388,30.365682779364057,30.672236247506643,31.01461967359214,31.408543848243646
960.0,28.524940749576594,28.53027083054113,28.54633632949828,28.573392683017328,28.611861005603572,28.662326692918356,28.725535180019357,28.802385695502274,28.89392271464699,29.001324849227736,29.125891200884055,29.26902582400329,29.432222038183557,29.617050049694047,29.82515397683871,30.058269847226057,30.318294955256377,30.607508439684832,30.929250914462628,31.290010616668066,31.708015919646925
1020.0,28.639284270779985,28.645176558238468,28.66292516350224,28.692773393129116,28.735121604898954,28.790524946948427,28.85968845359558,28.943460799612673,29.04282710095507,29.158901253355726,29.292918336178204,29.446227284834176,29.620282991314397,29.816634962080485,30.036907246654977,30.282765723776798,30.555889804100584,30.858048666545617,31.19160758344957,31.56142950747949,31.983123450066437
1080.0,28.76535673527278,28.771784676791935,28.79113649119824,28.823642794929004,28.86968321907462,28.92978450544351,29.004616130941365,29.09498445969324,29.201825294994173,29.326194545399368,29.46925678805387,29.632272096668213,29.81658311382103,30.02360761086555,30.254847474366933,30.51193575933494,30.79677052278778,31.111861122794988,31.46120777495974,31.852645902776274,32.30678558278266
1140.0,28.90270993676103,28.909647992540076,28.930526568460174,28.965564101712353,29.01512006437078,29.079693078901915,29.15991691655903,29.256555788199172,29.37049965418283,29.502760554975396,29.654471189165708,29.826886781521143,30.021390208005833,30.239498021856978,30.482862345357407,30.753266200304004,31.052636408546917,31.38318963173866,31.748048843459458,32.153308927236466,32.61662300843385
1200.0,29.050912673663984,29.058337025394128,29.08067165419932,29.118125599604966,29.17104373614938,29.23990631094609,29.325326980666112,29.428050435745458,29.548949629706136,29.689022300916832,29.84938609698595,30.031271279946264,30.23600997756317,30.46502180770913,30.71979893841158,31.00190444827503,31.31303196171726,31.655264263912446,32.03186628596807,32.44955296807219,32.92722255594364
1260.0,29.209639448265445,29.217535316188137,29.2412827547287,29.28108492517871,29.33727705526744,29.41032587689384,29.500827216381094,29.60950254512465,29.737194339973023,29.884859960788585,30.053563585109707,30.244465410642476,30.45880672677928,30.697888727632556,30.963043708322544,31.25560615455366,31.576926330685957,31.928561847037937,32.31297913814754,32.73569208898378,33.213626119923674
1320.0,29.378701191796274,29.387055938655898,29.412177844522137,29.454262559509864,29.513632327328388,29.59073446949465,29.686137505526858,29.800525480845,29.934690099969767,30.08952017507252,30.265988089939672,30.465133702760273,30.68804782400807,30.935860840434742,31.20974889872439,31.51098554807073,31.84110444867662,32.20232062628281,32.598523154691755,33.03772808578421,33.54086590029307
1380.0,29.557842845694417,29.56663687381422,29.593073259453966,29.637336046649303,29.699727642739322,29.780666479381754,29.880682491944054,30.00041154302526,30.140589362741178,30.30204585391742,30.485700866370763,30.69256249966147,30.92372834385687,31.18038891281264,31.46383292714685,31.77546385168273,32.11687425914602,32.49011406827499,32.89847098489789,33.3486860797767,33.859398399966565
1440.0,29.74663352374756,29.75584064587224,29.783512976705374,29.829823386290794,29.895056481931224,29.979607343243444,30.0839786797646,30.208777341568602,30.354710243592546,30.52257949106807,30.713276128171145,30.92777149469217,31.16710488475684,31.432366844406587,31.724681687115762,32.04520823095722,32.39521951668514,32.77640761979381,33.191723712827894,33.64764155635512,34.162458242010004
1500.0,29.9446300701888,29.95422981894496,29.98307759571714,30.031338021929983,30.099282106386763,30.187285818479314,30.295826685269862,30.4254789384303,30.576906863646126,30.75085575569292,30.948139582670628,31.169624050685144,31.416203311427903,31.688768769962522,31.988172212862832,32.31520089279739,32.67062392915115,33.05545141698011,33.4717035231909,33.92454358119393,34.43010006840493
1560.0,30.151488416916106,30.161461294454487,30.191425318167113,30.241534213019047,30.31204004334441,30.403290229071267,30.51572176442985,30.64985287181337,30.806271509606248,30.985620074348272,31.18857585235033,31.41582755492321,31.668050149351217,31.945884288169783,32.249935679461906,32.580829944125824,32.939399027675286,33.32714178103545,33.747227628183616,34.20684736184934,34.72521079096633
