时间（s）,距中心 0.0000 cm,距中心 0.1000 cm,距中心 0.2000 cm,距中心 0.3000 cm,距中心 0.4000 cm,距中心 0.5000 cm,距中心 0.6000 cm,距中心 0.7000 cm,距中心 0.8000 cm,距中心 0.9000 cm,距中心 1.0000 cm,距中心 1.1000 cm,距中心 1.2000 cm,距中心 1.3000 cm,距中心 1.4000 cm,距中心 1.5000 cm,距中心 1.6000 cm,距中心 1.7000 cm,距中心 1.8000 cm,距中心 1.9000 cm,距中心 2.0000 cm
0.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55
60.0,2.5490285993256605,2.5490285993256605,2.5490285993256605,2.5490285993256605,2.5490285993256605,2.5490285993256605,2.5490285993256605,2.5490285993256605,2.5490285993256605,2.5490285993256574,2.5490285993255677,2.5490285993227775,2.5490285992434902,2.5490285972083377,2.549028550602828,2.5490276132726737,2.5490113884666408,2.5487761546932335,2.5460273000797984,2.5215975021592247,2.3714286286995603
120.0,2.5480577443658707,2.5480577443658707,2.5480577443658707,2.5480577443658707,2.5480577443658707,2.5480577443658707,2.54805774436587,2.548057744365855,2.5480577443655315,2.548057744359695,2.5480577442609382,2.5480577427200424,2.5480577207396573,2.5480574370197346,2.5480541635647995,2.5480209109211343,2.5477291535141537,2.545573115723059,2.532605653483046,2.4721071335810967,2.267879655938495
180.0,2.5470874502662006,2.5470874502662006,2.5470874502662006,2.5470874502662006,2.5470874502662,2.547087450266188,2.5470874502659986,2.5470874502633998,2.5470874502296006,2.547087449817814,2.5470874451492205,2.5470873962791027,2.54708692801443,2.5470828615279584,2.5470512292638534,2.54683394062332,2.5455390259256925,2.5389933455294136,2.5117307111845317,2.421601558889776,2.195946563897035
240.0,2.5461177168123053,2.5461177168123053,2.5461177168123053,2.546117716812301,2.5461177168122417,2.5461177168115303,2.5461177168038214,2.546117716723848,2.5461177159401074,2.546117708734881,2.546117647042258,2.5461171587995617,2.5461136169236385,2.5460902873143714,2.545952296261011,2.5452289739089164,2.5419221998848713,2.5289923985693066,2.48676009039542,2.3746610469117564,2.139899764378248
300.0,2.5451485303496777,2.5451485303496764,2.5451485303496564,2.5451485303494947,2.54514853034797,2.5451485303340946,2.5451485302126104,2.5451485291989053,2.545148521200736,2.5451484619566695,2.5451480528583894,2.545145438531377,2.5451301001878446,2.545048217421078,2.544654548041934,2.5429704026051327,2.536649042321149,2.516170959136451,2.459967418470178,2.331808848760672,2.0932899292879856
360.0,2.54417987339321,2.544179873393171,2.544179873392861,2.5441798733904455,2.5441798733715952,2.544179873227938,2.5441798721736015,2.5441798647946374,2.544179815930969,2.5441795118943826,2.5441777463912434,2.5441682454349905,2.5441212193255565,2.5439089220120716,2.543043007045594,2.5398861694028168,2.5297244263736434,2.5012310982326085,2.4326195176766596,2.2926398319180374,2.053118131402186
420.0,2.5432117553376927,2.543211755337256,2.5432117553340428,2.543211755312295,2.543211755165935,2.5432117542038903,2.5432117481121472,2.5432117113083765,2.543211500763744,2.543210367940892,2.54320467273712,2.543178097272782,2.543063813843111,2.542614407834013,2.5410122352476354,2.535883022928974,2.5212902667334576,2.4847969696969088,2.405430283810898,2.2566676671612806,2.0175913557565583
480.0,2.5422441855726814,2.542244185569268,2.542244185546372,2.542244185409473,2.5422441845975996,2.5422441798965467,2.5422441536653277,2.542244013929028,2.5422433084950695,2.542239955591858,2.542225045423963,2.5421634023629847,2.5419280442431615,2.5411040828713456,2.538479573567673,2.530936886510811,2.511548796291352,2.467362268000411,2.3787732500589285,2.2234284251612393,1.9856363693856076
540.0,2.5412771773162652,2.541277177296453,2.541277177174013,2.541277176516151,2.541277173022256,2.5412771549099387,2.5412770643973026,2.541276632286616,2.5412746756173235,2.541266324613011,2.5412329313563466,2.541108573343574,2.5406799392524824,2.53932145885439,2.535389901854999,2.525074639925601,2.5007166610189957,2.449302497694798,2.3528399767310826,2.1925264300193112,1.9565402985098828
