时间（s）,距中心 0.0000 cm,距中心 0.1000 cm,距中心 0.2000 cm,距中心 0.3000 cm,距中心 0.4000 cm,距中心 0.5000 cm,距中心 0.6000 cm,距中心 0.7000 cm,距中心 0.8000 cm,距中心 0.9000 cm,距中心 1.0000 cm,距中心 1.1000 cm,距中心 1.2000 cm,距中心 1.3000 cm,距中心 1.4000 cm,距中心 1.5000 cm,距中心 1.6000 cm,距中心 1.7000 cm,距中心 1.8000 cm,距中心 1.9000 cm,距中心 2.0000 cm
0.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55
1.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999916274,2.549999986873627,2.5499896690552633,2.545923378432952
2.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999994,2.549999999999578,2.5499999997187697,2.549999869972679,2.549959010324073,2.5418926365427694
3.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999914,2.54999999999574,2.5499999984022743,2.5499995487819014,2.5499084634091482,2.537907039336872
4.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999408,2.549999999980309,2.549999994770346,2.54999892596806,2.5498384591214642,2.5339658649750003
5.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999994,2.549999999999755,2.5499999999375325,2.5499999870792553,2.5499979073031587,2.54974941965429,2.530068404521485
6.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999997,2.549999999999238,2.5499999998418166,2.5499999731334504,2.549996401589323,2.5496417587538387,2.526213961702233
7.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999991,2.5499999999980374,2.549999999655583,2.5499999503050836,2.549994320585315,2.5495158818865984,2.52240185266634
8.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999754,2.5499999999955776,2.5499999993272437,2.5499999155529682,2.549991578934654,2.549372186403396,2.5186314057522567
9.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999943,2.5499999999909884,2.5499999987892905,2.5499998654409834,2.5499880940952977,2.549211061700256,2.514901961258417
10.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999994,2.54999999999988,2.549999999983021,2.549999997956495,2.549999796155934,2.549983786270868,2.5490328893761207,2.5112128712182518
11.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999985,2.549999999999765,2.549999999969958,2.549999996724212,2.549999703524888,2.549978578343378,2.548838043387474,2.5075634991795104
12.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999967,2.5499999999995673,2.549999999949515,2.549999994966792,2.549999583031992,2.549972395807434,2.5486268901999405,2.5039532199878067
13.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999936,2.5499999999992435,2.5499999999187355,2.549999992536086,2.5499994298347954,2.5499651667058862,2.5483997889369094,2.5003814195743157
14.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999887,2.549999999998733,2.5499999998738794,2.549999989260049,2.549999238780077,2.5499568215668935,2.5481570915252374,2.496847494747541
15.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999807,2.5499999999979543,2.5499999998103062,2.549999984941438,2.5499990044192,2.549947293342372,2.547899142838091,2.49335085298908
16.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999968,2.5499999999968015,2.5499999997223535,2.5499999793565915,2.5499987210230004,2.5499365173478092,2.547626280834973,2.4898909122533155
17.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999948,2.5499999999951375,2.5499999996032088,2.5499999722543056,2.5499983825962276,2.549924431203403,2.5473388366989953,2.4864671007709513
18.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999918,2.5499999999927887,2.5499999994447773,2.5499999633547814,2.549997982891536,2.5499109747765085,2.5470371349714442,2.483078856856331
19.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999999,2.549999999999874,2.5499999999895384,2.5499999992375484,2.5499999523486596,2.5499975154230548,2.5498960901253573,2.546721493683693,2.479725628718463
20.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999998,2.5499999999998115,2.54999999998512,2.5499999989704563,2.5499999388961285,2.549996973479534,2.549879721444032,2.5463922244865045,2.4764068742756797
21.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999997,2.549999999999723,2.549999999979209,2.549999998630738,2.5499999226261045,2.5499963501370844,2.549861815008662,2.5460496327767883,2.4731220609738704
22.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999954,2.5499999999996015,2.549999999971414,2.549999998203788,2.5499999031354887,2.54999563827152,2.549842319124819,2.5456940178218423,2.4698706656082123
23.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999993,2.5499999999994354,2.5499999999612686,2.549999997673016,2.549999879988485,2.5499948305703133,2.54982118407609,2.545325672881145,2.4666521741483365
24.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.54999999999999,2.549999999999212,2.549999999948221,2.5499999970196923,2.549999852715988,2.5499939195441703,2.5497983620737963,2.54494488532573,2.4634660815668683
25.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999985,2.5499999999989154,2.549999999931623,2.549999996222802,2.549999820815034,2.549992897538244,2.5497738072078406,2.544551936755201,2.4603118916712656
26.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999785,2.5499999999985263,2.549999999910721,2.549999995258893,2.549999783748308,2.549991756742984,2.5497474753986578,2.544147103112424,2.4571891169389075
27.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.54999999999997,2.549999999998022,2.5499999998846423,2.5499999941019227,2.5499997409437176,2.54999048920464,2.5497193243502436,2.5437306547959495,2.454097278355357
28.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999585,2.5499999999973744,2.5499999998523823,2.549999992723107,2.549999691794013,2.549989086835426,2.5496893135042416,2.5433028567702003,2.4510359052557478
29.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999434,2.5499999999965506,2.5499999998127936,2.549999991090766,2.5499996356564667,2.549987541423352,2.5496574039950635,2.5428639686734757,2.448004535169228
30.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999234,2.5499999999955114,2.549999999764571,2.5499999891701712,2.5499995718526045,2.549985844641736,2.5496235586060267,2.542414244923811,2.4450027136664074
31.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999994,2.549999999999898,2.5499999999942116,2.5499999997062357,2.549999986923393,2.5499994996679822,2.549983988058399,2.549587741726479,2.541953934822731,2.4420299942097423
32.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999985,2.5499999999998657,2.5499999999925973,2.5499999996361233,2.549999984309147,2.549999418352013,2.5499819631445595,2.5495499193098974,2.541483282656947,2.4390859380068135
33.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999976,2.5499999999998244,2.549999999990608,2.549999999552366,2.5499999812826446,2.5499993271178387,2.5499797612834247,2.5495100588329365,2.5410025277980273,2.4361701138664293
34.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999967,2.549999999999772,2.549999999988171,2.5499999994528766,2.549999977795439,2.549999225142244,2.5499773737784976,2.5494681292554078,2.5405119048000904,2.433282098057507
35.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999954,2.5499999999997063,2.549999999985206,2.549999999335332,2.549999973795278,2.5499991115656138,2.549974791861599,2.549424100981171,2.540011643495551,2.430421474170676
36.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999936,2.5499999999996246,2.549999999981619,2.549999999197156,2.549999969225953,2.5499989854919285,2.5499720067006177,2.5493779458199146,2.539501969088963,2.4275878329825455
37.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999914,2.5499999999995233,2.5499999999773033,2.5499999990355002,2.5499999640271542,2.5499988459887986,2.5499690094069893,2.5493296369498113,2.5389831022489964,2.424780772322597
38.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999887,2.549999999999399,2.549999999972139,2.5499999988472273,2.549999958134323,2.549998692087534,2.549965791042922,2.5492791488810256,2.5384552591985807,2.421999896942638
39.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999985,2.549999999999247,2.5499999999659893,2.549999998628889,2.5499999514785108,2.549998522783249,2.549962342628363,2.5492264574200605,2.5379186518032535,2.4192448183887705
40.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999981,2.5499999999990624,2.5499999999587013,2.5499999983767085,2.5499999439862338,2.5499983370350012,2.549958655147723,2.5491715396349197,2.5373734876577516,2.416515154875832
41.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999976,2.549999999998839,2.549999999950103,2.5499999980865597,2.549999935579336,2.5499981337659587,2.54995471955636,2.549114373821072,2.5368199701708773,2.413810531164251
42.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999969,2.54999999999857,2.5499999999400016,2.5499999977539463,2.5499999261748507,2.5499979118636,2.54995052678683,2.5490549394681983,2.5362582986486717,2.411130578439277
43.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999616,2.5499999999982474,2.549999999928183,2.5499999973739804,2.549999915684866,2.549997670179942,2.549946067754912,2.548993217227706,2.5356886683759328,2.408474934192534
44.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999523,2.549999999997863,2.549999999914409,2.5499999969413607,2.54999990401639,2.5499974075317953,2.5499413333654117,2.5489291888809955,2.5351112706961083,2.4058432421058558
45.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999408,2.5499999999974063,2.549999999898416,2.5499999964503504,2.5499998910712236,2.5499971227010434,2.54993631451775,2.5488628373084596,2.5345262930895975,2.4032351519373556
46.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999265,2.549999999996866,2.5499999998799114,2.549999995894755,2.549999876745831,2.5499968144349476,2.549931002111346,2.5487941464592003,2.5339339192504897,2.4006503194096873
47.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999097,2.549999999996229,2.549999999858573,2.5499999952678976,2.549999860931216,2.549996481446476,2.5499253870507963,2.5487231013214524,2.5333343291617765,2.398088406100456
48.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999999,2.5499999999998892,2.5499999999954808,2.549999999834047,2.5499999945625977,2.5499998435127984,2.5499961224146537,2.549919460250853,2.5486496878936915,2.532727699169062,2.3955490793347343
49.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999998,2.549999999999865,2.5499999999946055,2.5499999998059435,2.5499999937711455,2.5499998243702975,2.549995735984932,2.5499132126412163,2.548573893156419,2.5321142020528042,2.393032012079644
50.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999997,2.549999999999836,2.549999999993585,2.5499999997738376,2.5499999928852786,2.549999803377614,2.5499953207695807,2.5499066351711375,2.548495705044601,2.5314940070991168,2.3905368828409648
51.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999963,2.5499999999998018,2.549999999992399,2.549999999737264,2.5499999918961556,2.5499997804027177,2.549994875348095,2.549899718813841,2.548415112420758,2.5308672801691587,2.388063375561723
